metric	size	value
avg_iou	0.05	0.862367033958435
avg_iou	0.1	0.878560721874237
avg_iou	0.2	0.881853699684143
avg_iou	0.5	0.892156481742859
avg_iou	1	0.891681849956512
pod_iou	0.05	0.884497463703156
pod_iou	0.1	0.890022754669189
pod_iou	0.2	0.891720592975616
pod_iou	0.5	0.906120836734772
pod_iou	1	0.903759658336639
seed_iou	0.05	0.859554529190064
seed_iou	0.1	0.872225940227509
seed_iou	0.2	0.876145899295807
seed_iou	0.5	0.884114146232605
seed_iou	1	0.884251356124878
split_iou	0.05	0.81538999080658
split_iou	0.1	0.81538999080658
split_iou	0.2	0.864519417285919
split_iou	0.5	0.869146764278412
split_iou	1	0.872185289859772
map_50	0.05	0.910385966300964
map_50	0.1	0.90392392873764
map_50	0.2	0.964054465293884
map_50	0.5	0.98314106464386
map_50	1	0.965611696243286
map_75	0.05	0.826884269714356
map_75	0.1	0.793613135814667
map_75	0.2	0.891541063785553
map_75	0.5	0.925747752189636
map_75	1	0.910268068313599
